星期	节次	时间	科目名称	授课老师	周次	地点
周一	第二大节 (03,04小节)	10:20-12:00	机器学习	曾增日助教（高校）,刘堂科高等学校教师	2-9周	致远-107
周一	第三大节 (05,06小节)	14:30-16:10	毛泽东思想和中国特色社会主义理论体系概论	孙其庭讲师（高校）	2-17周	致远-201
周一	第四大节 (07,08小节)	16:30-18:10	人工智能数学基础	宗亮副教授	2-17周	播馨-101
周二	第一大节 (01,02小节)	08:20-10:00	机器学习	曾增日助教（高校）,刘堂科高等学校教师	7-10周	专业四机房
周二	第二大节 (03,04小节)	10:20-12:00	数据库原理与应用	曾德天高等学校教师	2-17周	播馨-101
周三	第一大节 (01,02小节)	08:20-10:00	操作系统原理与Linux应用	曾德天高等学校教师	2-11周	播馨-102
周三	第二大节 (03,04小节)	10:20-12:00	机器学习	曾增日助教（高校）,刘堂科高等学校教师	2-9周	致远-107
周三	第三大节 (05,06小节)	14:30-16:10	大学体育(四)(羽毛球3-56)	唐勇讲师（高校）	2-17周	羽毛球主馆
周三	第四大节 (07,08小节)	16:30-18:10	计算机网络	宗亮副教授,詹煜卓工程师	2-11周	播馨-101
周四	第一大节 (01,02小节)	08:20-10:00	操作系统原理与Linux应用	曾德天高等学校教师	5-10周	专业四机房
周四	第二大节 (03,04小节)	10:20-12:00	数据库原理与应用	曾德天高等学校教师	9-16周	播馨-110
周四	第三大节 (05,06小节)	14:30-16:10	计算机网络	宗亮副教授,詹煜卓工程师	3-10周	专业三机房
周五	第二大节 (03,04小节)	10:20-12:00	机器学习	曾增日助教（高校）,刘堂科高等学校教师	7-10周	专业六机房
周五	第三大节 (05,06小节)	14:30-16:10	计算机网络	宗亮副教授,詹煜卓工程师	2-11周	播馨-101
